gloss,synsetname,relationid
ሻጠ፣ ሰነከረ፣ ወጋ,ረቀረቀ,0
ጠቀመ፣ ፈየደ,ረባ,0
በመዋለድ ቁጥሩ በዛ,ረባ,6
በመጥፎ ስራ ወይም በሃጢያት ላይ ተገኘ,ረከሰ,6
ዋጋዉ ዝቅ አለ,ረከሰ,0
ራሰ፣ ረሰረሰ,ረጠበ,0
የተቸገረን ለመርዳት የጠፋን ለመተካት የገንዘብ ወይም የእቃ ስጦታ አደረገ,ረጠበ,6
ክብ ነገርን ጎማን ከመሀሉ የሚያይዝ ቀጫጭን ሽቦ,ራጅ,0
በኤሌክትሪክ ሀይል በሚመነጭና ለአይን በማይታይ ሀይለኛ ጨረር አማካኝነት የሚቀረጽ ውስጣዊ የሰዉነት ከፍል ምስል,ራጅ,6
ቅርብ ያለመሆን፣ በቦታዎች መካከል ያለው ርዝመት መጠን ከፍተኛ መሆን,ርቀት,6
ጥልቀት፣ ረቂቅነት,ርቀት,0
ቀጠነ መነመነ ,ሰለለ,0
አየ ተመለከተ ቃኘ ሚስጥራዊ መረጃ አጠናከረ,ሰለለ,6
ረብሻ ሁከት ጦርነት የሌለበት የተረጋጋ ሁኔታ,ሰላም,0
በቁም ዜማና በማህሌት መጨረሻ የሚባል ዜማ ,ሰላም,6
የእስልምና ሀይማኖትን ተቀበለ,ሰለመ,0
ጨለመ፣ ደከመ፣ ዛለ (አይን),ሰለመ,6
ውሃ ጨመረ,ሰለሰ,0
ለሶስተኛ ጊዜ አደረገ ወይም ደገመ,ሰለሰ,6
የወንድን አባለዘር ቆረጠ,ሰለበ,0
በምትሀት፣ በዘዴ፣ በአስማት የሰዉን ገንዘብ ወሰደ,ሰለበ,6
የሳር ቤቱን ሲሰራ ሰንበሊጡን ወይም ሳሩን አናቱን ወደታች ስሩን ወደላይ አደረጎ ከደነ,ሰለተ,6
ከሳ፣ ቀጠነ፣ መነመነ(ፍሬ አለባ ሆነ),ሰለተ,0
ስለታም ሆነ፣ ተባ፣ ሾለ,ሰላ,0
ሾለከ,ሰላ,3
በጀ ፣ አማረ፣ ቀና ተሳካ,ሰላ,4
ማረሻ ቀና ብሎ ወደ ሞፈሩ በመጥጋቱ ወይም ዶማ ጋደም ብሎ ወደ እጀታዉ በመጠጋቱ ጠለቅ አድርጎ የማያርስ ወይም የማይቆፍር ሆነ,ሰላ,6
ሸመጠጠ፣ጨለጠ፣ ጠጣ,ሰመጠጠ,0
ከተተ እስከመጨረሻው አስገባ(ጩቤ፣ሰንጢ),ሰመጠጠ,6
አደመጠ፣ ተቀበለ፣ የተናገረዉን ያዘ ተረዳ,ሰማ,0
ሞቀ፣ ጋለ፣ ጋመ(ምጣድ),ሰማ,6
የራሱ ያልሆነን ንብረት ደብቆ ወሰደ,ሰረቀ,0
ወጣ ብቅ አለ ጨረቃ ጽሐይ,ሰረቀ,6
በውስጡ ደም ያዘ ቋጠረ (ሰጋ አይን),ሰረበ,0
ኳስን ወደተቃራኒዉ ቡደን መታ ወይም ለጋ,ሰረበ,6
ደግሶ ዳረ,ሰረገ,0
ወደ ወስጥ ገባ፣ ሰመጠ፣ ዘለቀ ወይም ገደጎደ(አይን),ሰረገ,6
አደረገ፣ ፈጸመ፣ አከናወነ,ሰራ,0
ሰበሰበ፣ አሳለፈ(ጦርን),ሰራ,6
ወሰነ፣ ደነገገ፣ ህግ አወጣ,ሰራ,4
ሰቀጠጠ፣ ዘገነነ,ሰቀቀ,0
መጠቀ፣ ወደላይ ከፍ እያለ ራቀ ሄደ,ሰቀቀ,6
አማሰለ፣ በጠበጠ(እርጎን ወዘወዘ),ሰበቀ,0
እሳትን በእጁ ለማውጣት እንጨትን፣ አስቴን አሽከረከረ,ሰበቀ,6
የሚያጣላን፣ የሚያጋጭ ወሬን አቀበለ አሳጣ,ሰበቀ,4
በስድሳ ዘጠኝና በሰባ አንድ መካከል የሚገኝ መቁጠሪያ ቁጥር፣ ብዛቱ ሰባት አስሮችን የሆነ,ሰባ,6
ወፈረ፣ ደለበ፣ ጮማ ሆነ,ሰባ,0
አሰጣ፣ ዘረጋ፣ ለጸሃይ ሰጠ,ሰተረ,0
ሸከፈ፣ ሰበሰበ፣ በስርአት አስቀመጠ,ሰተረ,6
ዘቀጠ እፍግታው ከውሃ የበለጠ ነገር ,ሰመጠ,0
